FPDIV_KEY,energy_cd,FID,WUA_YEAR,LIFT_ENERG,CEDTotal,GHGTotal,EnergyPump,geometry
13829IRR37880,5,2850,2011,131807.6189,748667.275352,43496.514237,878717.4593333334,"c(-100.65021, 39.39027)"
14347IRR50282,5,2851,2011,99047.95191,562592.3668488,32685.824130300003,660319.6794,"c(-100.548565, 39.386722)"
14348IRR61523,5,2852,2011,103779.6083,589468.175144,34247.27073900001,691864.0553333334,"c(-100.55733, 39.39378)"
14379IRR76583,5,2853,2011,76572.63663,434932.5760583999,25268.970087899997,510484.24419999996,"c(-100.56624, 39.41397)"
14522IRR26685,5,2854,2011,99729.56834,566463.9481712,32910.757552200004,664863.7889333334,"c(-100.52721, 39.36482)"
14916IRR16156,5,2855,2011,149938.3949,851650.083032,49479.670317000004,999589.2993333335,"c(-100.62636, 39.39017)"
15339IRR40527,5,2856,2011,80858.56617,459276.6558456,26683.326836100005,539057.1078000001,"c(-100.51084, 39.37588)"
17986IRR1370,5,3423,2011,153264.6884,870543.4301120001,50577.34717200001,1021764.5893333334,"c(-100.72997, 39.30726)"
17536IRR37865,5,3511,2011,119246.2672,677318.797696,39351.268176000005,794975.1146666667,"c(-100.47826, 39.3994)"
16919IRR26450,5,3778,2011,155078.2482,880844.449776,51175.821906000005,1033854.988,"c(-100.60283, 39.37551)"
18077IRR16412,5,3780,2011,68119.38806,386918.1241808,22479.3980598,454129.2537333333,"c(-100.59388, 39.36113)"
18096IRR46872,5,3781,2011,99439.58096,564816.8198528,32815.0617168,662930.5397333334,"c(-100.60571, 39.35738)"
16819IRR54974,1,3818,2011,128342.7789,749521.8287760001,45561.6865095,194458.75590909092,"c(-100.63445, 39.42661)"
17186IRR9876,1,3819,2011,109061.1068,636916.863712,38716.692914,165244.1012121212,"c(-100.5886, 39.42276)"
17678IRR46433,1,3820,2011,241982.4198,1413177.331632,85903.759029,366640.02999999997,"c(-100.631313, 39.422939)"
17680IRR41079,1,3821,2011,195318.0459,1140657.388056,69337.90629449999,295936.43318181817,"c(-100.64158, 39.41555)"
17681IRR31781,1,3822,2011,212240.5164,1239484.6157759998,75345.383322,321576.54,"c(-100.640701, 39.422028)"
16408IRR42224,5,4128,2011,122117.3148,693626.3480639999,40298.713884,814115.432,"c(-100.51524, 39.41548)"
17246IRR45187,5,4129,2011,128831.4797,731762.804696,42514.388301,858876.5313333333,"c(-100.51077, 39.41991)"
18188IRR35833,5,4130,2011,127213.3325,722571.7286,41980.399725,848088.8833333334,"c(-100.50591, 39.40852)"
16409IRR4022,5,4328,2011,156028.9078,886244.1963039999,51489.539573999995,1040192.7186666667,"c(-100.52326, 39.40849)"
16659IRR35872,5,4329,2011,82421.37781,468153.4259608,27199.054677300002,549475.8520666667,"c(-100.59492, 39.39106)"
17048IRR35961,5,4330,2011,69496.27442,394738.8387056,22933.7705586,463308.49613333336,"c(-100.51093, 39.36861)"
18034IRR13742,5,4331,2011,74854.61978,425174.2403503999,24702.0245274,499030.7985333333,"c(-100.5648, 39.39047)"
18132IRR7478,5,4332,2011,156705.9473,890089.780664,51712.962609,1044706.3153333333,"c(-100.55162, 39.40855)"
16602IRR23770,5,4571,2011,191990.1591,1090504.103688,63356.752502999996,1279934.394,"c(-100.66686, 39.35446)"
16629IRR5391,5,4572,2011,129370.1762,734822.600816,42692.158146,862467.8413333334,"c(-100.76279, 39.3208)"
16948IRR71606,5,4575,2011,152146.5749,864192.545432,50208.369717,1014310.4993333335,"c(-100.6957139, 39.38692613)"
17229IRR9282,5,4579,2011,74143.80543,421136.81484239997,24467.4557919,494292.0362,"c(-100.66979, 39.38303)"
17230IRR40161,5,4580,2011,181346.1068,1030045.886624,59844.215244000006,1208974.0453333335,"c(-100.67857, 39.38684)"
17682IRR2252,5,4582,2011,251990.4062,1431305.507216,83156.834046,1679936.0413333334,"c(-100.68236, 39.40101)"
18148IRR37899,5,4584,2011,139447.6681,792062.754808,46017.730473,929651.1206666668,"c(-100.66895, 39.37207)"
18149IRR35060,5,4585,2011,160092.1666,909323.5062879999,52830.414978,1067281.1106666666,"c(-100.67368, 39.37589)"
18714IRR1779,5,4586,2011,107148.1573,608601.533464,35358.891909000005,714321.0486666667,"c(-100.74406, 39.34324)"
19221IRR52832,1,4771,2011,127335.196,743637.54464,45203.99458,192932.11515151514,"c(-100.66843, 39.41613)"
20280IRR11655,1,4775,2011,174565.2435,1019461.0220400001,61970.6614425,264492.7931818182,"c(-100.71529, 39.41582)"
20404IRR10125,5,4946,2011,110585.9439,628128.161352,36493.361487,737239.626,"c(-100.47874, 39.40848)"
20405IRR5215,5,4947,2011,94212.84694,535128.9706192,31090.2394902,628085.6462666667,"c(-100.46925, 39.40819)"
20775IRR2360,5,4948,2011,120072.3517,682010.9576559999,39623.876061,800482.3446666667,"c(-100.47311, 39.41188)"
20792IRR44094,5,4949,2011,162004.9659,920188.206312,53461.638747000005,1080033.1060000001,"c(-100.46809, 39.41566)"
19319IRR17693,5,5247,2011,90327.07561,513057.7894648,29807.9349513,602180.5040666667,"c(-100.63031, 39.36469)"
19432IRR35096,5,5248,2011,155827.5775,885100.6402,51423.100575000004,1038850.5166666668,"c(-100.54008, 39.35752)"
19556IRR34393,5,5249,2011,186131.0558,1057224.396944,61423.248414,1240873.7053333335,"c(-100.61726, 39.37479)"
19580IRR25652,5,5250,2011,168690.0187,958159.3062159999,55667.706171,1124600.1246666666,"c(-100.63026, 39.37632)"
20672IRR29875,5,5251,2011,164552.6529,934659.0684719998,54302.375456999995,1097017.686,"c(-100.62625, 39.37485)"
20385IRR20739,1,5292,2011,172175.7635,1005506.45884,61122.3960425,260872.36893939393,"c(-100.58952, 39.45031)"
20526IRR11296,1,5293,2011,98216.69627,573585.5062168,34866.927175849996,148813.17616666667,"c(-100.60072, 39.45164)"
20842IRR14543,1,5295,2011,155430.0985,907711.77524,55177.6849675,235500.14924242423,"c(-100.6313, 39.41563)"
19160IRR13564,5,5690,2011,113627.635,645404.9667999999,37497.11955,757517.5666666667,"c(-100.56209, 39.37518)"
19407IRR54068,5,5691,2011,153114.6517,869691.2216559999,50527.835061,1020764.3446666666,"c(-100.60249, 39.39402)"
20050IRR18337,5,5692,2011,125270.7925,711538.1013999999,41339.361525,835138.6166666667,"c(-100.54817, 39.37572)"
20081IRR6715,5,5693,2011,108142.6733,614250.3843439999,35687.082189,720951.1553333333,"c(-100.58062, 39.40344)"
20279IRR4011,5,5694,2011,131513.4103,746996.1705039999,43399.425399,876756.0686666666,"c(-100.51575, 39.37568)"
20376IRR24456,5,5695,2011,124800.3488,708865.981184,41184.115104000004,832002.3253333335,"c(-100.55353, 39.37929)"
20396IRR21512,5,5696,2011,164075.1557,931946.8843759999,54144.801381000005,1093834.3713333334,"c(-100.54332, 39.38679)"
20507IRR19153,5,5697,2011,184319.2555,1046933.3712399999,60825.354315000004,1228795.0366666666,"c(-100.60764, 39.40935)"
19070IRR54599,5,5925,2011,129002.9657,732736.8451759999,42570.978681,860019.7713333333,"c(-100.69141, 39.38239)"
19222IRR71065,5,5926,2011,105762.9371,600733.4827279999,34901.769243,705086.2473333334,"c(-100.67632, 39.38163)"
19442IRR18383,5,5927,2011,66291.29205,376534.538844,21876.126376500004,441941.94700000004,"c(-100.69479, 39.37986)"
19443IRR28796,5,5928,2011,100289.1026,569642.102768,33095.403858,668594.0173333334,"c(-100.67868, 39.37915)"
20483IRR45105,5,5929,2011,192773.3126,1094952.415568,63615.193158,1285155.4173333335,"c(-100.77686, 39.34312)"
20673IRR29277,5,5930,2011,59755.63292999999,339411.99504239997,19719.3588669,398370.88619999995,"c(-100.6851, 39.38243)"
