masterid,year,PDIV_ID,crop,volume_m3,area_m2,depth_m,system
sheridan,1996,44911,2,33538.3212,121405.8,0.2762504,1
sheridan,1996,45048,,,,,
sheridan,1996,45105,2,230660.76,991480.7,0.232643265306122,4
sheridan,1996,45187,2,88822.8948,530138.66,0.16754693129771,2
sheridan,1996,45406,,,,,
null_geo9,1996,45412,,,,,
sheridan,1996,45420,2,137150.6412,546326.1,0.251042311111111,3
null_geo9,1996,45618,,,,,
sheridan,1996,45882,2,175437.8604,465388.9,0.376971339130434,1
sheridan,1996,45981,25,134461.6548,619169.58,0.217165019607843,1
null_geo9,1996,46137,2,179199.9744,368264.26,0.486608175824177,3
null_geo9,1996,46242,1,85689.8556,485623.2,0.1764538,3
sheridan,1996,46433,2,156491.6076,501810.64,0.31185464516129,3
null_geo9,1996,46597,2,153950.6388,477529.48,0.322390576271187,3
null_geo9,1996,46699,2,185786.7576,493716.92,0.376303081967214,4
sheridan,1996,46872,2,185330.37,522044.94,0.355009302325581,6
null_geo9,1996,47188,2,127036.1052,485623.2,0.2615946,3
null_geo9,1996,47322,2,243279.2604,870074.9,0.279607925581395,4
sheridan,1996,47561,2,163534.7784,534185.52,0.306139272727273,3
null_geo9,1996,4766,2,255515.382,647497.6,0.39462075,1
sheridan,1996,48068,2,149448.4368,485623.2,0.307746400000001,3
null_geo9,1996,48393,2,274733.0004,971246.4,0.2828671,3
null_geo9,1996,48424,2,150398.2164,505857.5,0.297314112,3
sheridan,1996,48657,-99,0,0,0,-99
null_geo9,1996,48725,3,121152.4056,303514.5,0.39916608,1
null_geo9,1996,48899,2,227503.0512,708200.5,0.321241782857144,4
null_geo9,1996,48937,2,473310.9456,987433.84,0.479335475409835,3
null_geo9,1996,49004,3,152384.1192,517998.08,0.294179625,4
null_geo9,1996,4914,2,104475.756,485623.2,0.215138,4
sheridan,1996,49340,18,135991.17,404686,0.336042,3
sheridan,1996,49418,2,162646.6728,453248.32,0.358847571428572,4
sheridan,1996,49677,2,122768.2644,505857.5,0.242693952,6
null_geo9,1996,49700,,,,,
null_geo9,1996,49732,2,205547.1072,465388.9,0.441668452173913,4
sheridan,1996,49765,2,99369.1488,465388.9,0.213519026086957,4
sheridan,1996,50055,25,139000.8612,509904.36,0.272602476190476,1
null_geo9,1996,50062,1,138186.7644,485623.2,0.2845562,3
sheridan,1996,50282,23,287314.4964,607029,0.473313760000001,4
null_geo9,1996,50414,2,155998.2156,493716.92,0.315967672131146,3
sheridan,1996,50429,2,274251.9432,505857.5,0.542153856,4
sheridan,1996,50432,,,,,
null_geo9,1996,50517,2,131908.3512,465388.9,0.283437495652174,3
sheridan,1996,51134,16,262459.8744,493716.92,0.53160118032787,1
sheridan,1996,51209,2,173229.9312,493716.92,0.350869770491804,3
sheridan,1996,51383,,,,,
sheridan,1996,51584,2,167876.628,663685.04,0.252946829268293,6
sheridan,1996,51707,2,152655.4848,457295.18,0.333823433628318,3
sheridan,1996,5215,2,147178.8336,493716.92,0.298104393442623,3
null_geo9,1996,52168,-99,0,0,0,-99
sheridan,1996,52210,24,186403.4976,501810.64,0.371462709677418,3
sheridan,1996,52338,2,216796.4448,586794.7,0.36945964137931,6
null_geo9,1996,52629,5,65954.1756,485623.2,0.1358138,3
null_geo9,1996,52744,2,273067.8024,890309.2,0.306711927272728,3
sheridan,1996,52832,25,135251.082,987433.84,0.13697262295082,4
null_geo9,1996,52980,2,160253.7216,809372,0.19799808,6
null_geo9,1996,53257,2,186021.1188,485623.2,0.3830574,3
sheridan,1996,53297,2,182875.7448,485623.2,0.3765804,3
sheridan,1996,5333,2,131982.36,424920.3,0.310605714285715,4
null_geo9,1996,53340,2,170343.588,809372,0.2104644,3
null_geo9,1996,5348,2,175154.16,971246.4,0.18034,4
sheridan,1996,53552,2,226355.9148,465388.9,0.486381286956521,4
null_geo9,1996,53865,2,189006.1404,477529.48,0.395800881355933,3
sheridan,1996,5391,2,140246.676,485623.2,0.288798,3
sheridan,1996,54068,2,125913.6384,404686,0.31113984,3
null_geo9,1996,54176,2,195987.6372,485623.2,0.403580599999999,3
sheridan,1996,54599,16,162399.9768,586794.7,0.2767584,3
null_geo9,1996,54728,2,189696.8892,493716.92,0.384222885245901,3
sheridan,1996,54974,16,401189.37,631310.16,0.635488461538462,1
sheridan,1996,5989,2,230660.76,485623.2,0.474979999999999,6
null_geo9,1996,60169,,,,,
sheridan,1996,6097,23,191127.726,647497.6,0.29517975,1
sheridan,1996,6130,,,,,
null_geo9,1996,6134,2,332028.1464,979340.12,0.339033322314051,3
sheridan,1996,61523,,,,,
sheridan,1996,6348,24,295258.1076,728434.8,0.405333199999999,1
null_geo9,1996,6349,2,189881.9112,501810.64,0.378394451612905,3
null_geo9,1996,6469,2,176745.3492,485623.2,0.363956599999999,3
null_geo9,1996,6478,2,244229.04,971246.4,0.25146,4
sheridan,1996,65616,,,,,
sheridan,1996,6715,2,84900.4284,485623.2,0.1748282,4
null_geo9,1996,67679,,,,,
null_geo9,1996,6771,2,87219.3708,485623.2,0.1796034,3
null_geo9,1996,6829,2,102206.1528,505857.5,0.202045824,3
sheridan,1996,69668,,,,,
null_geo9,1996,69757,,,,,
sheridan,1996,6990,2,100503.9504,481576.34,0.208698352941176,6
sheridan,1996,69953,,,,,
null_geo9,1996,70217,,,,,
null_geo9,1996,70419,,,,,
sheridan,1996,71065,,,,,
sheridan,1996,71093,,,,,
sheridan,1996,7111,2,205633.4508,497763.78,0.413115512195123,4
null_geo9,1996,7122,2,248817.5856,987433.84,0.251984655737705,3
sheridan,1996,71336,,,,,
sheridan,1996,71606,,,,,
null_geo9,1996,7165,2,101244.0384,364217.4,0.2779776,3
null_geo9,1996,726,2,241379.7012,485623.2,0.4970526,3
null_geo9,1996,73066,,,,,
null_geo9,1996,73085,,,,,
sheridan,1996,74305,,,,,
sheridan,1996,7478,23,197936.5356,513951.22,0.385127999999999,1
sheridan,1996,7488,18,163534.7784,493716.92,0.331232655737705,3
sheridan,1996,76179,,,,,
null_geo9,1996,76180,,,,,
sheridan,1996,7640,2,153309.2292,493716.92,0.31052124590164,3
sheridan,1996,76583,,,,,
sheridan,1996,7911,2,212355.9168,424920.3,0.499755885714286,3
sheridan,1996,793,2,288905.6856,768903.4,0.375738189473683,1
null_geo9,1996,7974,,,,,
null_geo9,1996,79866,,,,,
sheridan,1996,80684,,,,,
sheridan,1996,8142,2,128294.2548,667731.9,0.192134836363636,3
sheridan,1996,8154,17,47032.5924,242811.6,0.1937004,3
sheridan,1996,81865,,,,,
sheridan,1996,84315,,,,,
null_geo9,1996,8499,24,285747.9768,971246.4,0.2942082,3
sheridan,1996,86209,,,,,
sheridan,1996,8776,,,,,
sheridan,1996,8936,2,168333.0156,497763.78,0.33817931707317,3
null_geo9,1996,9053,2,179310.9876,870074.9,0.206087330232558,3
sheridan,1996,9104,23,287314.4964,607029,0.473313760000001,6
null_geo9,1996,9181,2,124482.8016,485623.2,0.2563368,3
sheridan,1996,9280,2,185256.3612,493716.92,0.375228786885245,3
sheridan,1996,9282,2,110692.4952,493716.92,0.224202885245902,4
sheridan,1996,9350,2,179878.3884,505857.5,0.355591872,3
null_geo9,1996,9453,2,150447.5556,505857.5,0.297411648,3
sheridan,1996,9689,24,176202.618,526091.8,0.334928307692307,1
null_geo9,1996,9707,2,133376.1924,505857.5,0.263664192,4
sheridan,1996,9766,2,102206.1528,465388.9,0.219615026086957,4
null_geo9,1996,9803,2,531987.5892,1011715,0.525828768,3
null_geo9,1996,9875,2,165804.3816,485623.2,0.341426800000001,3
sheridan,1996,9876,2,143651.0808,522044.94,0.275170604651163,3
sheridan,1997,10125,2,199330.368,635357.02,0.313730445859871,6
null_geo9,1997,10401,2,126555.048,493716.92,0.256331803278689,4
sheridan,1997,10503,24,109705.7112,501810.64,0.218620258064516,3
sheridan,1997,1077,24,199305.6984,546326.1,0.364811733333334,4
sheridan,1997,10944,2,95755.0524,485623.2,0.1971802,3
sheridan,1997,11070,,,,,
sheridan,1997,1108,2,184960.326,607029,0.3046984,4
sheridan,1997,11091,,,,,
sheridan,1997,11296,2,187673.982,675825.62,0.277696526946108,4
null_geo9,1997,11461,2,144465.1776,323748.8,0.4462272,1
sheridan,1997,11655,2,194593.8048,485623.2,0.400710400000001,4
null_geo9,1997,11884,2,143318.0412,477529.48,0.300124677966102,3
sheridan,1997,12141,5,0,0,0,1
null_geo9,1997,12195,24,257562.9588,1052183.6,0.244789569230769,3
null_geo9,1997,12260,2,263421.9888,501810.64,0.524944258064517,3
null_geo9,1997,12396,2,342389.3784,1011715,0.338425536,3
null_geo9,1997,12495,2,161215.836,485623.2,0.331978000000001,3
sheridan,1997,12627,2,125913.6384,493716.92,0.255032655737705,4
null_geo9,1997,12760,2,169998.2136,388498.56,0.4375785,4
sheridan,1997,12879,2,247411.4184,930777.8,0.265812104347826,4
null_geo9,1997,12942,2,90623.7756,230671.02,0.392871157894736,4
sheridan,1997,12958,2,155418.48,542279.24,0.286602985074627,4
sheridan,1997,13049,16,137125.9716,485623.2,0.2823718,3
sheridan,1997,13111,24,145476.6312,501810.64,0.289904129032258,3
null_geo9,1997,13362,,,,,
sheridan,1997,13518,,,,,
sheridan,1997,13564,2,266419.3452,526091.8,0.506413476923077,4
null_geo9,1997,13595,2,154530.3744,485623.2,0.3182112,3
sheridan,1997,1370,2,170750.6364,607029,0.28128976,5
sheridan,1997,13742,2,142392.9312,493716.92,0.288410754098361,4
null_geo9,1997,13827,2,350221.9764,505857.5,0.692334912,3
null_geo9,1997,13828,2,141837.8652,505857.5,0.280391616,4
sheridan,1997,14543,2,138951.522,501810.64,0.276900967741936,3
null_geo9,1997,14585,2,103994.6988,343983.1,0.302325741176471,3
sheridan,1997,14592,,,,,
null_geo9,1997,14708,2,202734.7728,485623.2,0.417474400000001,3
null_geo9,1997,14756,2,154653.7224,485623.2,0.318465199999999,3
sheridan,1997,15070,2,428128.5732,1068371.04,0.400731181818182,3
null_geo9,1997,15426,48,562873.9284,1970820.82,0.285604484599589,3
null_geo9,1997,15444,2,71541.84,485623.2,0.14732,3
sheridan,1997,15471,16,98937.4308,477529.48,0.207186508474576,3
sheridan,1997,15540,2,206052.834,582747.84,0.353589166666665,3
null_geo9,1997,15646,2,188056.3608,485623.2,0.3872484,3
sheridan,1997,160,2,140641.3896,497763.78,0.282547121951219,4
null_geo9,1997,16141,2,358399.9488,942918.38,0.380097373390557,4
sheridan,1997,16156,2,152482.7976,424920.3,0.358851199999999,4
null_geo9,1997,16274,2,101145.36,465388.9,0.217335652173913,4
